ID,SourceText,Russian,English,Notes,Reasons,Packages,AllIDs,Locations
100080397822,Ракетчик,Ракетчик,Rocketeer,manual-reviewed-google,google-draft,jazz-units,100080397822,jazz-units:items.lua:88481 | jazz-units:UnitData/JAZZ_Legion_HeavyT1_Rocketeer.lua:21
102139743828,пыхтит,(пыхтит),(grunts),manual-reviewed-google,google-draft,jazz-units,102139743828 | 490217033288,jazz-units:items.lua:115260 | jazz-units:items.lua:115261
102970979232,"Ого! Господи, что со мной могло случится!","Ого! Господи, что со мной могло случиться!","Whoa! Dear God, what could've happened to me!",manual-reviewed-google,google-draft,jazz-units,102970979232 | 570086844191,jazz-units:items.lua:116526 | jazz-units:items.lua:116391
107713982322,"Все-таки, книжки это одно, а вот опыт, это совсем другое дело.","Всё-таки книжки — это одно, а опыт — совсем другое дело.",Books are one thing. Experience is another.,manual-reviewed-google,google-draft,jazz-units,107713982322,jazz-units:items.lua:131767
110929798318,БК на исходе.,БК на исходе.,Running low on ammo.,manual-reviewed-google,google-draft,jazz-units,110929798318,jazz-units:items.lua:131351
115039977738,Че-то какие-то приколы тут развешаны.,Чё это за странные штуки тут развешаны?,What's with all this weird stuff hanging up?,manual-reviewed-google,google-draft,jazz-units,115039977738,jazz-units:items.lua:131501
118410023717,Век живи - век учись!,Век живи — век учись!,You live and learn!,manual-reviewed-google,google-draft,jazz-units,118410023717 | 528546746564,jazz-units:items.lua:116363 | jazz-units:items.lua:116535
120260566033,Кхм. Я сказал...,Кхм. Я сказал...,Ahem. As I was saying...,manual-reviewed-google,google-draft,jazz-units,120260566033,jazz-units:items.lua:115323
124003637664,Слышал странный звук.,Слышал странный звук.,I heard a strange sound.,manual-reviewed-google,google-draft,jazz-units,124003637664,jazz-units:items.lua:115435
126127451344,Хреново!,Хреново!,Damn!,manual-reviewed-google,google-draft,jazz-units,126127451344 | 547061568930 | 940470095476,jazz-units:items.lua:115856 | jazz-units:items.lua:115908 | jazz-units:items.lua:115956
126202971861,"Граната? Я видел и похуже. Например, когда бак пробило на взлёте","Граната? Я видел и похуже. Например, когда бак пробило на взлёте",Grenade? I've seen worse—like the time a fuel tank got punctured on takeoff.,manual-reviewed-google,google-draft,jazz-units,126202971861,jazz-units:items.lua:114898
127238942497,Харпер,Харпер,Harper,manual-reviewed-google,google-draft,jazz-units,127238942497,jazz-units:Code/Mercenary.lua:46
129078279066,Всего лишь десять процентов удачи и девяносто процентов моей убойной харизмы.,Всего лишь десять процентов удачи и девяносто процентов моей убойной харизмы.,"Ten percent luck, ninety percent killer charm.",manual-reviewed-google,google-draft,jazz-units,129078279066,jazz-units:items.lua:131546
131463743436,Чего-то я замотался. Надо стенку подпереть.,Чего-то я замотался. Надо стенку подпереть.,"Man, I'm beat. Need a wall to hold up.",manual-reviewed-google,google-draft,jazz-units,131463743436,jazz-units:items.lua:131447
141058614304,"Я слишком сильно утомлена, чтобы продолжать работу.","Я слишком сильно утомлена, чтобы продолжать работу.",I'm too exhausted to keep working.,manual-reviewed-google,google-draft,jazz-units,141058614304,jazz-units:items.lua:116532
148583031817,"бежит, дышит","(бежит, тяжело дышит)","(running, panting)",manual-reviewed-google,google-draft,jazz-units,148583031817 | 566351894894,jazz-units:items.lua:116328 | jazz-units:items.lua:116329
150639393097,"Ты хочешь, чтобы я еще осталась, или как?","Ты хочешь, чтобы я ещё осталась, или как?","You want me to stick around, or what?",manual-reviewed-google,google-draft,jazz-units,150639393097,jazz-units:items.lua:115629 | jazz-units:UnitData/Jazz_Buzz.lua:167
