weapon_id,slot_index,slot_type,modifiable,can_be_empty,default_component,default_in_options,option_index,component_id,component_name,component_source,is_default,source_file,snapshot_commit
AA12,1,Barrel,true,false,BarrelNormal,true,1,BarrelNormal,Стандартный ствол,jazz,true,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,1,Barrel,true,false,BarrelNormal,true,2,BarrelLongShotgun,Удлиненный ствол,jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,2,Magazine,true,false,MagNormal,true,1,MagNormal,Заводской магазин,jazz,true,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,2,Magazine,true,false,MagNormal,true,2,MagLarge,Расширенный магазин,jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,3,Scope,true,true,,true,1,JAZZ_Reflex_Aimpoint5000,Коллиматор Aimpoint5000,jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,3,Scope,true,true,,true,2,JAZZ_Reflex_Closed,Коллиматор Закрытый,jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,3,Scope,true,true,,true,3,JAZZ_Reflex_Eotech,Коллиматор Eotech,jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,3,Scope,true,true,,true,4,JAZZ_Reflex_M68,Коллиматор Aimpoint M68,jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,3,Scope,true,true,,true,5,JAZZ_CombatScope_2x,Штурмовой прицел (2x),jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
AA12,3,Scope,true,true,,true,6,JAZZ_CombatScope_ACOG,Штурмовой прицел ACOG (4x),jazz,false,InventoryItem/AA12.lua,5db078dfb2c9206f39e491a1d26b6e7f1f6f1220
