line,text
000,Опять они!
001,"Ну, выдавим пару прыщиков."
002,"Похоже, я попалась!"
003,
004,
005,
006,Я слышала какой-то шум.
007,"Господи, ну и вонь."
008,"У меня мурашки по коже. Похоже, скоро раскроются врата ада."
009,
010,
011,Смотри.
012,Кто-то что-то уронил.
013,Эту штуку надо зарядить.
014,"Я еще не умерла, но это единственная хорошая новость."
015,
016,
017,
018,Чего-то я запуталась.
019,Это ружье поломалось как раз вовремя.
020,Граната бы не помешала.
021,"А, пустяки."
022,"Хорошо, что я не боюсь смерти."
023,Отсюда хорошего выстрела не сделать.
024,У меня редкая группа крови. Лучше остановить кровотечение.
025,Я сейчас упаду. Надо бы немного вздремнуть.
026,Минутку... Я переведу дух.
027,Кровь за кровь!
028,Возвращайся в ад.
029,
030,
031,
032,
033,"Ох, я не из брезгливых, но, похоже, сейчас проблююсь."
034,
035,Все готово. Найдите что-нибудь еще.
036,Как-то не особо хочется.
037,Это пустяки. Хотя я не отказалась бы повторить.
038,Ага! Чертовски забавно вышло.
039,Ну и дебил.
040,"Лучше торговать вразнос, чем заниматься таким дерьмом."
041,"Не знаю, из под какой колоды эти парни выползли, но они меня в дрожь вгоняют."
042,Эти черти летят низко!
043,Да за эту дрянь гроша ломаного не получишь.
044,
045,
046,Я кое-чему научилась.
047,А мозги вам не забыли выдать?
048,А на что можно было надеяться? На чудо?
049,
050,
051,
052,
053,
054,
055,
056,Мне попали в глаза. Все расплывается.
057,Да я всю жизнь могу пытаться сделать это.
058,Ну и крендель.
059,"Мы знаем, что враги здесь. Надо попытаться с ними расправиться."
060,Они еще где-то здесь. Не будем расслабляться.
061,
062,Обожаю эту игрушку.
063,
064,"Не могу дождаться, когда она с этим познакомится. Когда я с ней разберусь, ей ос"
065,"Да, детка. Это последние из ублюдков."
066,"Может, кто-нибудь вернет пропажу, пока я не рассердилась?"
067,"Сука. Лежи тихо. Знай, если она встанет, я застрелю ее снова. Это лучшее. Что я"
068,Срань господня!
069,"Я знала, что этот день придет. Я тоже довольна. Я рада, что все прошло быстро, и"
070,"Похоже, эти сосунки наделали в штаны и сбежали. Как только мы появились тут."
071,"Я прилягу на минутку. Я скажу, когда буду готова вернуться к работе."
072,Я готова.
073,"Эй, я первая это сказала."
074,Эта штука сломана. Вряд ли ее стоит таскать.
075,Ага! Эта штука грозит неприятностями.
076,"Я не пошла бы туда, даже если бы это был единственный выход!"
077,Тону! Господи! Спасите... <буль> Помогите!
078,"Итак, каковы дальнейшие планы?"
079,"Давайте воспринимать жизнь философски. В конце-концов, какая нам разница, кто пр"
080,"Вот блин, фигня какая!"
081,"Да, круто нас бабахнуло."
082,Я себе задницу отморожу. Давайте двигаться.
083,"Это никуда не ведет. Наверно, придется идти через дверь снизу."
084,Забудь! С этого момента мы связаны друг с другом.
085,"Бррр. Я чувствую себя, как курица в морозилке. Блин, ну и холод!"
086,"Ух ты, сколько самолетов."
087,"Может, чем осматривать местные достопримечательности,  лучше займемся наконец де"
088,Я бы не против отдохнуть денек-другой в этом лесочке. И речушка славная...
089,"Не всем удалось справится. Надеюсь, мы больше не понесем потерь."
090,"Ну... Мы внутри, но я уверена, что об этом знают абсолютно все!"
091,"Похоже, все здесь. Ну что, пора идти?"
092,"Господи, что за мерзкий старикашка!"
093,Ох! Он меня пугает.
094,"Хрен тебе по всей морде, чувак!"
095,"Мне кажется, он ничего не говорил о том, чтобы пойти с нами, правда?"
096,
097,"Итак, я должна поверить, что вы меняете сторону впервые, полковник? Это так, не"
098,"И почему мне кажется, что один из нас должен стать нянькой?"
099,
100,Это совсем другое дело. Скорее бы испробовать.
101,"Ох! Похоже, это небезопасно. Не знаю..."
102,Фу... Он выглядит не особо!
103,Позвольте взглянуть на письмо.
104,"Да, это было сложное задание, но мы отлично справились и скоро будем дома."
105,И как они здесь не замерзнут? Я бы ни за какие деньги не согласилась на такую ра
106,
107,"Похоже, проблему кошек мы решили. Их не слндовало держать в доме."
108,Ух ты! Это круто! Ха-ха-ха! Ну и дебил!
109,"Не смешно только то, что вместе с этим дебилом взорвались и все его вещи."
110,"Без кусачек нам не пройти сквозь эту штуку тихо. Похоже, нам придется открывать"
111,"На этой двери прямо написано: ""Никто сюда не войдет""."
112,"Посмотрим, что это был за шум."
113,"Хорошо, что я не здесь живу. Этот шум сводит меня с ума."
114,Это сигнал вентилятора. У нас есть шанс.
115,"Вот это да! Ребята, мы заслужили премиальные. Все, дело сделано, можно возвращат"
116,Как бы выбраться отсюда половчее? Ужасно не хочется снова бродить по этим подвал
117,
118,
119,
