line,text
000,Угроза!
001,Шоу начинается!
002,Меня достали.
003,
004,
005,
006,Что-то движется.
007,
008,В воздухе что-то есть. Я уверен.
009,
010,
011,Что-то вижу.
012,Вот.
013,Стрелять нечем.
014,Меня... ранили! Дела плохи.
015,
016,
017,
018,Что-то я не понял?
019,Черт! Оно не стреляет.
020,
021,Я еще здесь!
022,Однажды... мое везение кончится.
023,Не выйдет. Отсюда не попасть.
024,Возьми. Нужно перевязать.
025,Ах... Пора баиньки.
026,Воздуха!
027,Аннигилирован.
028,
029,
030,
031,
032,
033,Ни струя себе фонтан!
034,
035,Готово! Что еще?
036,Ни за что!
037,
038,
039,Кое-кому надо бы вставить.
040,Все совсем хреново...
041,"Назвался груздем, полезай в кузов."
042,Бомбят!
043,Надо бы найти что-нибудь получше. Позор ходить с такими штуками.
044,
045,
046,Я заметил улучшение.
047,Это следует еще раз обдумать.
048,Так я и думал.
049,
050,
051,
052,
053,
054,
055,
056,"Похоже, у меня роговица сгорела."
057,Это пустая трата времени.
058,Вроде все ОК.
059,У нас есть работа. Здесь враги.
060,Мы не закончили еще. Будь начеку.
061,
062,"Глаз за глаз, зуб за зуб!"
063,
064,
065,"Похоже, мы одни."
066,
067,
068,Вижу дикого кота.
069,
070,Черт! Они свалили.
071,"Вздремну, пока не свалился."
072,Уже не сплю.
073,И меня не забудьте!
074,Как раз в самый подходящий момент.
075,Тут что-то не так. Это ловушка.
076,Здесь что-то не так.
077,
078,Я прибыл. Жду указаний.
079,Отлично затарились. Теперь у нас не будет проблем с экипировкой.
080,Блин. Шея болит.
081,Плохая посадка - это еще мягко сказано.
082,Здесь не стоит долго оставаться.
083,Пути наверх нет. Надо что-то сделать с той дверью.
084,Пути назад нет. Я в этом уверен.
085,Пальто бы не помешало. А в чем дело-то?
086,"Самолеты, самолеты... А почему звездолетов нет?"
087,Приятный городишко.
088,"Мы сюда что, на сусликов охотиться приехали?"
089,У нас потери. Не все смогли пройти.
090,"Лучше зарядить оружие. Я уверен, после такого взрыва они делают то же самое."
091,"Я вижу, все здесь. Хорошо."
092,"Интересно, его мама с крыльца в детстве не роняла? Случайно?"
093,Приятный и полезный парень.
094,Позвольте мне попасть в цель!
095,
096,
097,"Не болтайте об этом, полковник... И помните, теперь вы работаете на нас."
098,
099,
100,Это стоит испытать.
101,"Лезть сквозь вентилятор - это самая большая из глупость, которая когда-либо прих"
102,Он больше никого не побеспокоит.
103,Дайте мне взглянуть на это.
104,В жизни не видел ничего подобного... И вряд ли увижу. Трогательное зрелище.
105,"Что-то мне подсказывает, что мы еще столкнемся с сопротивлением."
106,У меня была такая. Ручная мортира. Я получил за нее несколько баксов.
107,"Думаю, их больше не осталось. Надолго."
108,"Не хотел бы я иметь таких друзей, как у него."
109,Где же мы теперь купим оружие?
110,"Кусачки бы пригодились. Пожалуй, придется применить силу, но тогда все узнают, г"
111,Вот что я называю дверью!
112,Что-то снизу сдвинулось.
113,А это еще что?
114,Нас предупредили. Вентилятор ждет.
115,"Нифига себе! Хотел бы я посмотреть на их рожи, когда кой-какие материалы из этой"
116,"Так, а теперь все быстро в лифт. Мне нужно успеть попасть домой прежде, чем по т"
117,
118,
119,
