line,text
000,Неудобства.
001,Цели здесь.
002,Черт! Я по уши увяз.
003,
004,
005,
006,Какой-то шум.
007,
008,Скорее! Я чувствую недоброе.
009,
010,
011,Вот!
012,Это что?
013,У меня все! Нужны патроны.
014,Плохо. Кровь льет как из ведра.
015,"Жаль Буля, он был смелым парнем."
016,Бифф мертв? Он был мне как родной.
017,Гас был славным парнем.
018,Ничего не понимаю.
019,Ружье заклинило!
020,Не все потеряно.
021,Пара стаканов - и я про это и не вспомню.
022,Козлы.
023,Не выйдет. Ничего не видно.
024,Тут у меня царапина.
025,Пора залезть в спальный мешок...
026,Дайте... отдышаться.
027,Еще один клиент для капеллана.
028,
029,"Не знаю, чего несет этот Тревор. Хотя мне по фигу. Хрен с ним."
030,"Эта Лава - самая жуткая тварь, которую я видел. Видно, придется застрелить ее са"
031,
032,
033,Похоже на суп... Я люблю суп.
034,
035,Я закончил.
036,"Надеюсь, ты не настаиваешь."
037,
038,
039,Щукин сын.
040,Это отстой!
041,Фигляры. Почти все они - жалкая пародия на настоящих бойцов.
042,Осторожно! Эти птички хотят на нас нагадить.
043,Большую часть этого хлама стоит утопить.
044,"Мне нравится, когда эти пижоны разгуливают, задрав нос, чтобы мне легче было цел"
045,
046,Это приходит с опытом.
047,От этого за версту разит глупостью.
048,Разойдитесь. Здесь не на что смотреть.
049,"Он все время бормочет, как помешанный. Пора мне сваливать от Колби. У меня от не"
050,"Если я еще раз ее увижу, я просто сдохну. Я, пожалуй, свалю подальше от этой Лав"
051,"Он знает, что делает."
052,Меня от этого парня прет.
053,Этот парень может любого вояку за пояс заткнуть.
054,
055,
056,Глаза словно вываливаются. Такого еще не было.
057,"Не хочется говорить, но это бесполезно."
058,Это было забавно.
059,Сейчас тут заварится каша.
060,Мы не всех еще перебили. Помните об этом.
061,
062,Это меня согревает.
063,
064,Теперь мы оба счастливы.
065,Их здесь словно никогда и не было.
066,
067,
068,Тут четвероногая беда.
069,"У меня смешанные чувства насчет того, что все закончилось. Надо отдохнуть, но я"
070,"Видно, кто-то крикнул ""Пожар!"". Они все сбежали."
071,
072,
073,И меня посчитайте.
074,Это просто дерьмо собачье!
075,Дело нечисто. Будьте осторожны.
076,Здесь что-то не так.
077,
078,Я простаиваю. Есть советы?
079,"Похожий тип торговал наркотиками в нашем квартале. До тех пор, пока я ему не сло"
080,Черт! Что это за чертовщина?
081,"Ладно, парень, не бухти. В конце-концов, не на пироги к теще летели."
082,Мы тут устроили неплохое шоу. Пора бы и сваливать отсюда.
083,Отсюда никуда не выйдешь. Придется найти способ открыть эту проклятую дверь сниз
084,"Ага... так! Есть только один способ выбраться, и всем вместе."
085,"Знал бы я, что приземлюсь в Арктике, надел бы теплое белье. Черт! Я замерзаю!"
086,Е-мое! Сколько здесь всяких самолетов-вертолетов!
087,Я вырос в очень похожем городе...
088,"Приятно снова почувствовать, что у меня в штанах еще что-то есть. Еще бы немножк"
089,"Похоже, пройти удалось не всем! Увы..."
090,"Мы наделали много шума, но мне это нравится. У них есть время подумать о том, чт"
091,"Похоже, на сей раз мы обошлись без потерь."
092,"Хороший человек, мне такие нравятся."
093,Мелкая моська громко тявкает.
094,"Это может оказаться интереснее, чем я думал!"
095,"Похоже, он не врет. Я ему верю."
096,
097,"Будьте настороже, полковник. Иногда лучше держать язык за зубами."
098,
099,
100,Черт! Эту штуку следует испытать.
101,"Если эта штука заработает, когда мы в нее полезем, нам хана."
102,Вообще-то он заслуживал более медленной смерти...
103,Дай-ка сюда!
104,"Конечно, не все было гладко, но согласитесь, в целом мы неплохо порезвились!"
105,"Похоже, мы их так и не ущипнули за задницу. Теперь вся страна знает, что мы здес"
106,Гм. Ручная мортира восемнадцатого века с боеприпасами. Я уже месяц таких не вида
107,"Это был последний. Думается мне, теперь эта бабка будет торговать ковриками..."
108,"Я думал, что повидал все. Наверно, взрывчатка - не его специальность."
109,Нельзя было доверять тому типу в полицейской форме. Теперь нам придется прорыват
110,"Кусачки бы пригодились. Теперь придется хорошенько вдарить по этой штуке, чтобы"
111,"Взгляни на дверь. Похоже, нас не хотят туда пускать."
112,Я слышал снизу какой-то шум.
113,Что это за тревога? Мы что-то включили?
114,Это нам. Вентилятор выключен.
115,"Тьфу, абракадабра какая-то. Хотя... тут есть парочка интересных названий. Думаю,"
116,"Нам пора сваливать. Давайте запустим подъемник и вылезем прямо наверх, к солнышк"
117,
118,
119,
