line,text
000,Опп-а! Вижу цель.
001,Начнем что ли?
002,"Тю-ю! В очередь, сукины дети!"
003,
004,
005,
006,А ну тихо!
007,
008,
009,
010,
011,Че-т нашел.
012,"Чужое. Халява. Взять-взять! Хы! Фильм ""ДМБ"" смотрел?"
013,"И рад бы, да стрелять нечем."
014,Е-мое! Больно!
015,Ваня! Ч-черт возьми! Это был лучший боец в отряде!
016,Угр-робили пацана!
017,
018,
019,В самый подходящий момент! Это хуже афганской берданки!
020,М-мать вашу!
021,
022,Ч-чижики!
023,Ты в уме?
024,Н-неприятно.
025,Четт я зеваю!
026,"Выключаюсь, однако!"
027,"И звать тебя теперь ""двухсотый""!"
028,
029,
030,
031,
032,
033,"М-да. Зрелище то еще. А знаешь, с вертолета этого дерьма не видно."
034,
035,Все. Сделал.
036,"Никак нет, товарищ генерал!"
037,
038,
039,"Видал я уродов, но чтоб настолько..."
040,Да-а! С таким командиром навоюешь пожалуй!
041,Время покажет. Но вродь ничего компашка.
042,Ложись!
043,"Может, сначала отремонтировать это барахло?"
044,"Ну что, Вань? Доставай наши законные ""наркомовские"". Не поверю, что у тебя нет с"
045,"Ну, до дяди ему далеко... Но паренек толковый."
046,Прям... расту над собой!
047,А ты еще раз подумай!
048,"Стареем, что ли? Да ну, быть не может!"
049,
050,
051,Силен! Уважаю!
052,Ну вот! А все скромничал!
053,"Отлично, землячок!"
054,
055,
056,
057,Ты знаешь... никак!
058,А хорошие люди есть не только в России!
059,"Пару ""шмелей"" бы сюда на зачистку... Ну да придется самим."
060,Этт еще не все!
061,"Хм! Неп-плохо, неп-плохо!"
062,Обратно мой...
063,
064,Что? Да пошел ты!
065,И сразу тихо так стало! Хор-рошо!
066,
067,
068,"Эх... Ну, здравствуй, Мурзик!"
069,
070,Странные люди! И че этт они ушли в разгар веселья?
071,Меня не кантовать... При пожаре выносить первым...
072,"Ну вот, а теперь и повоевать можно!"
073,Во-во дело говоришь!
074,Хм! Нн-е понял!
075,Та-ак! Ща разберемся!
076,Консервы. С начинкой. Не нарвись!
077,А вот эт-то уже хуже! Никогда не завидовал Чапаеву!
078,Ну че? Посадку давай!
