line,text
000,Вижу цель.
001,Нужно избавиться от некоторых неудобств.
002,Какой кошмар!
003,
004,
005,
006,Я слышал подозрительный звук.
007,
008,"Тут кто-то есть, чувак. За нами следят."
009,
010,"Боже, мне нужна поддержка."
011,Что это?
012,Стоит взглянуть.
013,Патронов нет.
014,В этот раз мне досталось... могу и не оправиться.
015,
016,
017,
018,"Пардон, можно еще раз?"
019,"Блин, проклятое ружье заело."
020,Они включили подогрев!
021,Словно москита пришлепнули.
022,Настал мой час.
023,Надо найти другую позицию.
024,У меня проникающее ранение. Я теряю кровь.
025,Я посплю здесь немного.
026,Чуть... помедленнее.
027,Цель поражена.
028,Жри сырым!
029,
030,
031,
032,
033,Кое у кого многовато сняли сверху.
034,f
035,Я закончил.
036,"Простите, нет."
037,Основная цель поражена.
038,АГА!!! То есть...это просто моя работа.
039,Такие товарищи нам не нужны.
040,"Я надеялся, что все будет лучше."
041,"Некоторым людям следовало бы понять, что профессия наемника - не для всех."
042,Атака с воздуха! Это не шутка!
043,Это просто хлам. Его незачем и с собой таскать.
044,
045,
046,Я старался.
047,"Пожалуй, это следует еще раз обдумать."
048,Этого и следовало ожидать.
049,
050,
051,
052,
053,
054,
055,
056,Погодите... Я ничего не могу разглядеть.
057,Это не для меня.
058,Повстречать можно разных людей. Но некоторых из них приятно встретить.
059,Внимание! Мы убедились в присутствии врага.
060,Они не могли уйти далеко...
061,
062,Дело сделано.
063,
064,Мы должны предотвратить это. И у нас достаточно огневой мощи.
065,"Цели кончились! По крайней мере, здесь."
066,"Гм. Нам стоит получше разобраться, с кем мы имеем дело. Они снимают самые сливки"
067,"Мне удивительно это говорить, однако иногда пуль не хватает... Теперь многие мат"
068,Рысь!
069,"Ну, мы были вместе с самого начала. Много воды утекло... Кажется, это было очень"
070,Они сбежали через черный ход. Теперь мы здесь одни.
071,"Отдыхаю перед тем, как сделать очередную глупость."
072,Я снова готов к работе.
073,И я.
074,Этой штуке место в ближайшей помойке.
075,"Черт! Похоже, у нас проблема."
076,На месте стой! Видите? Выглядит подозрительно.
077,Эй... здесь подводное те...<буль> те...<буль> те...<буль> течение!
078,Все чисто.
079,Сервис на уровне мировых стандартов.
080,"Бррр! А что это за белая дрянь? Мы что, в Канаде?"
081,Мне не по себе.
082,"Если мы не отправимся как можно скорее, я до смерти окоченею."
083,"Это никуда не ведет. Нужно сообразить, как открыть дверь снизу."
084,"Не знаю, куда я должен идти. В конце концов, мы в туннеле."
085,Только я мог оказаться в сугробе в одних плавках.
086,"Боже, сколько самолетов. У меня от рева двигателей в ушах звенит."
087,В этом городе чего-то сильно не хватает.
088,Неплохое место для рыбалки.
089,Черт! У нас недостаток в живой силе.
090,"Не думаю, что наше появление будет для кого-нибудь сюрпризом."
091,Весь отряд прошел. Теперь стоит устроить маленький сюрприз для людей на той стор
092,"Старый мошенник. Проверьте, все ли наши вещи на месте."
093,Такого арсенала я не видел даже у контрабандистов Чикаго.
094,Хорошие последние слова!
095,
096,
097,"Классная история, полковник. Как я понимаю, это все."
098,
099,
100,Гм. Никогда не доводилось подержаться за одну из этих штук.
101,"Может, это следует снова обдумать?"
102,Забавно потерять кого-то поважнее.
103,"Ну-ка, посмотрим, что мы откопали..."
104,Наконец-то мы выбрались из этого змеиного гнезда.
105,А вот и комитет по торжественной встрече.
106,"Гм!.. Ручная мортира. Я слышал о таких, но не думал, что когда-нибудь увижу ее."
107,"Наконец-то все мертвы. Теперь я знаю, почему их не бывает в зоопарке. Слишком оп"
108,"Парень, с такой работой надо осторожнее обращаться с посылками. Дольше проживешь"
109,"У меня ощущение, что мы крупно влипли. Надо рвать когти."
110,"Надо как-нибудь открыть это. Наверно, придется действовать грубой силой, потому"
111,Крепкая дверь!
112,"Похоже, нам повезло... Я уверен, что слышал, как что-то открылось."
113,Это не церковный колокол!
114,Это для нас. Они отключили вентилятор.
115,"Ого! Держу пари, Ричардс с Моханнедом будут писать крутым кипятком от счастья, к"
116,"Все, дело сделано. Попрощайтесь с этим чудесным островом, ребята, мы летим домой"
117,
118,
119,
