line,text
000,Вижу врага.
001,У нас проблемы.
002,Это для меня слишком!
003,
004,
005,
006,"Не знаю, что это был за звук, но мне он не нравится."
007,
008,Не нравится мне эта тишина.
009,
010,Эти штуки играют не по правилам!
011,А это что?
012,"Похоже, тут что-то есть."
013,От пустого ружья мало толку.
014,"Надеюсь, я выгляжу лучше, чем чувствую себя."
015,
016,
017,
018,Можно еще разок?
019,Этому ружью конец.
020,Становится жарковато!
021,"Это что, наезд?"
022,Мне вдруг очень захотелось жить.
023,Я не слишком уверена в этом выстреле.
024,"Эй, кто-нибудь может остановить кровь?"
025,Я сейчас на ходу усну.
026,Отдышаться бы.
027,Еще один.
028,Еще одно.
029,
030,
031,
032,
033,Ненавижу смотреть на подобные вещи.
034,
035,Дело сделано.
036,На такой приказ я не согласна.
037,"Расходитесь по домам, здесь не на что смотреть."
038,"Приходится считать, что у эта штука была зачем-то нужна... Но кабы я знала, заче"
039,"Неловко говорить, но он полный дебил."
040,"Похоже, от меня здесь толку мало. А для меня здесь еще меньше толку."
041,"Похоже, все в этой команде интересуются только собой."
042,Вражеские самолеты!
043,"Все, что здесь есть, требует ремонта или замены. Так войну не ведут."
044,
045,
046,А я молодец!
047,"По-моему, лучше найти другой способ."
048,"Неудивительно, что это не прошло."
049,
050,
051,
052,
053,
054,
055,
056,"Ох, мне в глаза попали. Огнем горят!"
057,"Пожалуй, мне лучше заняться чем-нибудь другим."
058,Лучше бы мне встретить ее в другой ситуации.
059,Поблизости враги.
060,По меньшей мере один из них остался неучтенным. Он может дождаться момента и сде
061,Это может поднять мне настроение.
062,
063,
064,При нас она не станет. Можешь рассчитывать.
065,Один-ноль в нашу пользу! Врагам конец.
066,Кое-что пропало.
067,"Простите меня за холодный расчет, однако эта женщина по любому была полным нулем"
068,Пума!
069,Люди в Арулько теперь могут спать спокойнее. С неба можно ожидать только дождя.
070,"Они, наверно, смылись. В этом секторе нет врагов."
071,"Я вздремну, а потом вернусь к работе."
072,"Отдохнула, продолжаю работать."
073,Я тоже хотела это сказать.
074,Профилактика могла бы предотвратить это. А теперь это лишь мертвый груз.
075,"Здесь везде надписи ""смертельно""."
076,Осторожно. Я бы держалась подальше.
077,Помогите!.. Тону!.. Кто-нибудь!..
078,Я прибыла. Жду дальнейших указаний.
079,"Каков продавец, таков и товар."
080,"Хорошо... Главное, руки-ноги сосчитать."
081,"Да, бывает хуже, но реже."
082,"Нужно двигаться. От того, что мы стоим, теплее не становится."
083,"Похоже, здесь тупик... Должен быть способ открыть ту дверь снизу."
084,"Ага... Просто сяду на ближайший автобус до Мемфиса. Может, ты забыл, но обратног"
085,Это просто безумие. Мы же замерзнем до смерти.
086,Даже в аэропорту Кеннеди самолетов меньше.
087,Долго еще мы будем бродить туда-сюда?
088,"По моему, здесь нет ничего интересного."
089,"Нас стало меньше. Надеюсь, на вентиляторе нет крови."
090,"После такого шума звонить в дверь не требуется. Думаю, можно сказать, что нас жд"
091,"Похоже, все здесь. По крайней мере, никому не придется мыть лопасти вентилятора."
092,"Может быть, нам тоже стоит внести пару предложений. Например, не оставлять гнусн"
093,"Что за дела с этими торговцами оружием? Они что, близнецы-братья?"
094,"У вас нет улик, правда?"
095,"В случае с кем-то другим я бы не повелась, однако что-то в Руди заставляет меня"
096,"Твои мятежники наверняка вокруг. Хорошо, что ты с нами."
097,"Я буду следить за тобой, Биггенс. Любой намек на измену, и я сама спущу курок."
098,
099,
100,"Эй, вот и новая игрушка. Слишком..."
101,"Даже и думать не хочу о том, что может случиться, если кто-нибудь попадет под ло"
102,"Не думаю, что твоя мамаша будет плакать."
103,Дайте-ка посмотреть...
104,"Такое чувство, будто меня облили дерьмом. Вот что значит связаться с политикой."
105,"Здесь что, всех туристов так встречают?"
106,Эта штука выглядит древней. Вряд ли она работает.
107,"Ненавижу этих кошек! Надеюсь, их больше нет."
108,"Должна признать... Это было весьма круто. Не думаю, что это было запланировано."
109,"Очень жаль, но от его вещей ничего не осталось."
110,"Жаль, что нечем это все перекусить. Придется действовать старым способом - хорош"
111,"Не думаю, что здесь есть хотя бы дырка для ключа. Открыть ее будет непросто."
112,"Ну... Похоже, что-то получилось. По-моему, все здание затряслось."
113,"Не понимаю, что это за шум."
114,"Пора двигаться, пока вентилятор не начал вертеться снова."
115,"Черт, все зашифровано, только несколько слов и можно разобрать. Но все равно я д"
116,"Все, пора убираться отсюда. Наверняка дверь в лифт открывает одна из кнопок на п"
117,
118,
119,
120,
