line,text
000,Вот и жлоб.
001,Наконец-то можно поразвлечься.
002,Меня поражает их агрессивность.
003,
004,
005,
006,Мне неспокойно: я слышу странные звуки.
007,
008,"Нельзя забывать, что здесь опасно."
009,
010,
011,Я что-то заметил.
012,Это можно взять.
013,Скучно жить с пустой обоймой.
014,Умираю... но не сдаюсь...
015,Смерть Лиски разбила не одно сердце в этом мрачном месте.
016,"Меня огорчает потеря Сдобы. Хотя, может быть, смерть даст ей еще один шанс на жи"
017,"Тоска успокоилась. Только смерть, или Гастон, могли успокоить ее ярость."
018,Что же есть предназначение?
019,Боже мой... это оружие неисправно.
020,"Стреляйте себе, я не потеряю уверенности."
021,Меня подставили. Все из-за плохой тактики.
022,"Ха... ты умрешь, некомпетентный!"
023,Туда только ураганом снесет.
024,"Надеюсь, хоть шрама не останется."
025,Усталость - худший из врагов.
026,Нечем... дышать.
027,Свободен... делов-то.
028,
029,Этот Злобный... Он издевается над языком наших отцов. Я не могу выносить это сло
030,"Фло позорит собой поле брани. Эта женщина, не француженка. Она жила в Америке. О"
031,"Я не хочу уподобиться Бифу. Он имбецил в самом худшем смысле, почти как его парт"
032,Я ухожу отсюда. Биф невыносим и глуп. Я бы не доверил этому парню даже автомобил
033,Какая трагедия. Кусочки могли бы быть и побольше.
034,На лодке и то веселее.
035,Закончил выполнение.
036,Это просто смешно.
037,
038,
039,"Цирк сгорел, клоуны остались."
040,Мне надоело. Надоела эта безысходность.
041,Ах... Хотел бы я оказаться среди цивилизованных людей.
042,Самолет нас заметил. Они целятся в меня.
043,"Похоже, мои вещи - не первой свежести."
044,Мне пришлось смириться с негод
045,"Америка! Страна без культуры. Эти люди просто летят на яркий свет, словно мотыль"
046,Я это заслужил.
047,Неужели очевидная глупость этого пугает только меня?
048,"Похоже, ты удивлен?"
049,Я пас. Я больше не могу поворачиваться спиной к своему народу. Когда Злобный гов
050,Мне стыдно за Фло. Я уйду без лишнего шума.
051,"Ох, Лиска..."
052,"Ты горяча, Сдоба! Ты согреваешь мне душу."
053,"Тоска, ты полна затаенной страсти."
054,
055,
056,Я ослеп! Теперь придется пробираться во тьме на ощупь. Со мной уже было такое.
057,Это невозможно.
058,Гастон ее просто покорил. Это было очевидно.
059,Мы здесь не одни.
060,"Я, Гастон Кавалье, должен быть начеку, ради тех, кто уже не с нами."
061,
062,"Я обращаюсь с оружием как с женщиной, и оно верно мне служит."
063,
064,Ты не первый покидаешь Гастона из-за низких побуждений.
065,Им всем крышка. Мы снова победили.
066,
067,
068,"Я слышу, кошка мяучит."
069,"Я выполнил то, зачем пришел. Теперь мне пора заняться добрыми делами. Я получил"
070,Они сбежали. Они оценили мой талант.
071,
072,
073,Запишите и меня.
074,Этот хлам оскорбляет мое достоинство.
075,"Пожалуй, лучше бы с этим поиграл кто-нибудь другой."
076,"Мне это не нравится. Меня переполняют подозрения, словно ревнивого мужа."
077,
078,Я покоряюсь судьбе. Что я теперь должен делать?
079,"Какой гнусный тип. Уверен, он никогда не учился даже в начальной школе."
080,Боже мой... я жив.
081,"Я не знаю, кто организовал эту операцию, но по-моему  и у мартышки получилось бы"
082,"Мы сидим тут, словно утки. Кто-то мог заметить наше неудачное приземление."
083,Отсюда нет выхода. Должен быть способ открыть эту дверь снизу.
084,"Я не могу так уйти. Нас ведут одним путем, по туннелю войны."
085,"Меня не предупреждали о том, как нужно одеваться. Мне совсем не нравится так дро"
086,"Уйдем отсюда побыстрее, самолеты вызывают у меня ностальгию."
087,Какое гнусное место! Небось и вина под натуральной пробкой не видели.
088,"И моему ангельскому терпению есть предел. Мне нужно срочно кого-нибудь убить, а"
089,Гастон прошел сквозь ловушку. Мы еще выпьем шампанского.
090,"Я знаю, они нас ждут. Я уверен, этот шум был слышен даже в Алжире!"
091,"Пройти через ловушку удалось всем. Я не уверен, что это к лучшему."
092,Что за пародия на человека?
093,"Даже думать не хочу, что будет, если мы попытаемся подшутить над этим парнем."
094,Я своими руками убью этого человека.
095,"Я опасаюсь. Он выглядит дружелюбным, но таким был и наш пилот."
096,
097,"Добро пожаловать, полковник. В моей команде всегда есть место для подготовленных"
098,
099,
100,"Я поражен! Это невероятно. Оружие, из которого я еще никого не убивал?"
101,Я не уверен в этом... Мясорубка смерти - и кто ей управляет?
102,Это было неизбежно.
103,Позвольте взглянуть...
104,"Я разочарован. Мне казалось, такая организация как A.I.M. должна проявлять больш"
105,"Мой дедушка был в отряде Сопротивления, однако я уверен, что даже ему не приходи"
106,"Мортира восемнадцатого века. Прекрасное оружие для своего времени. Наверное, фра"
107,"Похоже, мы закончили операцию по регулированию их популяции."
108,Как забавно! Этот идиот сам разнес себя на кусочки.
109,"К несчастью, все, что у него было, тоже превратилось в обломки."
110,"Без кусачек мне остается только биться об этот барьер до тех пор, пока он не под"
111,Это самая ужасная дверь. Ее так просто не откроешь.
112,"Пора спускаться в подвал. Похоже, мы открыли секрет."
113,Боже мой... Что за ужасный шум?
114,Это сигнал. У нас есть доступ к вентилятору.
115,"Я конечно не специалист по расшифровке, но по-моему это как раз то, что мы искал"
116,"Давайте побыстрее покинем это место. Думаю, лифт вполне подойдет."
117,
118,
119,
