line,text
000,Еще агрессоры.
001,Они здесь. Давай устроим шоу.
002,"Пора убираться отсюда, пока я еще могу ходить!"
003,
004,
005,
006,Слышишь?
007,
008,Что-то не дает мне покоя.
009,
010,
011,Гляди-ка.
012,Что это там такое?
013,Обойма пуста.
014,Я ничего не чувствую...Смерть моя приходит.
015,
016,
017,
018,"Погоди-ка, я что-то не соображу. Что мне нужно делать?"
019,Это проклятое ружье накрылось бедой - пардон.
020,"Если я не выберусь отсюда, я поджарюсь!"
021,Спасибо. Большое спасибо.
022,"Ну... Лучше смотреть, чем трогать."
023,"Отсюда вряд ли. Может быть, с другого места."
024,"Если кровь не остановить, то скоро я потеряю сознание."
025,Я засыпаю. Мне бы прилечь на часок.
026,Я задыхаюсь. Погоди чуток.
027,"Тебе конец, придурок."
028,
029,
030,
031,
032,
033,Я неделю не смогу прикоснуться к еде.
034,
035,Могу заняться чем-нибудь еще.
036,Нет. Это не ко мне.
037,Лучше бы она помучалась подольше... Хотя и так неплохо.
038,"Ага, милашка! Труп из тебя классный!"
039,"Похоже, этого придурка папа с мамой недоделали!"
040,"В следующий раз займусь чем-нибудь поинтересней...например, отстрелом крыс в мет"
041,"Господи, надеюсь, групповых фото не будет. Не хочу, чтобы меня видели с этим сбо"
042,Бог ты мой! Нас атакуют с воздуха!
043,"Во всем мире не хватит скотча, чтобы хоть как-нибудь скрепить все это."
044,
045,
046,Я делаю успехи!
047,Отстойный план.
048,"Итак, Золотым Суппозиторием награждается..."
049,
050,
051,
052,
053,
054,
055,
056,Господи! Я не могу открыть глаза.
057,Из этого ничего не выйдет.
058,Приятный парень.
059,Будь осторожен. Вокруг враги.
060,"Мы нашли не всех, так что будем осторожны."
061,Ух ты! Такое не каждый день увидишь.
062,
063,"Похоже, тот малыш от кого-то прячется."
064,
065,Ура! Теперь все чисто! Грязи не осталось.
066,"Держись. Похоже, у нас проблема. Где эта хрень?"
067,"Как ощущения, радость моя? Скажу по секрету, мне весьма приятно, как и всем оста"
068,Чаппи!
069,"Чудесно было пройти вместе огонь и воду. Спасибо за все - ну, ты понимаешь, о че"
070,Они слиняли. Какая гадость.
071,"Пойду вздремну. Как встану, позову тебя."
072,"ОК, я возвращаюсь к работе."
073,"Да, и для меня."
074,Это нужно исправить.
075,Ну и ну! Тут есть и живой.
076,Я к этому и близко не подойду.
077,Еще... минута... мне больше не продержаться...
078,Я здесь. Жду инструкций.
079,Наконец-то у нас станет полегче с экипировкой.
080,Ох! Куда мы попали?
081,"Ну... Он прав. По крайней мере, мы живы."
082,"Нам надо идти. Хорошо бы туда, где поменьше снега."
083,"Я не вижу выхода отсюда. Нам надо сообразить, как открыть ту дверь снизу."
084,И куда я попаду?
085,"Не могу поверить, что я попала в буран в одной драной майке. Кое-кто не сделал с"
086,"Не думаю, что мы сумеем угнать вертолет."
087,"Чудное место, не правда ли?"
088,Какая прелестная речушка. Давайте искупнемся?
089,"Хорошо бы все смогли пройти. Никто не знает, что там впереди."
090,"Не думаю, что наше прибытие теперь будет неожиданным."
091,Здорово! Мы все тут.
092,"Фу, ну и запах. Ручаюсь, он не мылся со времен вселенского потопа."
093,Он мог бы взять пару уроков по торговому делу.
094,"Я прошла долгий путь, чтобы поглядеть на тебя!"
095,"Я уверен, он знает, о чем говорит."
096,"Чем больше, тем лучше."
097,"Кто знает, даже я мог бы узнать от вас что-нибудь полезное."
098,
099,
100,Что-то новое.
101,"Не хочу портить праздник, но неужели мы правда собираемся лезть через вентилятор"
102,Он должен был предчувствовать это.
103,А ну дай-ка сюда...
104,Хорошая работа. Они больше не будут угрожать .
105,"Похоже, в здешних местах вывелась новая порода горных козлов."
106,"Бог ты мой! Этой штуке, наверно, лет сто."
107,Осталось только сделать уборку.
108,Ну и идиот! Ха-ха-ха!
109,"Остались только мелкие кусочки. И от него самого, и от всего, что у него было."
110,"Это всегда случается, если кусачки оставить дома. Может, получится взять силой."
111,"Посмотри на дверь... Не думаю, что ее можно открыть."
112,"Там что-то сдвинулось, я слышала."
113,"Я уверена, это не мы включили тревогу. Что же это такое?"
114,Пора. Это наш шанс потихоньку проникнуть в нужное место.
115,"Ага, это именно то, что мы искали. Теперь можно сваливать."
116,"Думаю, этот лифт вывезет нас прямо на поверхность. О, а вот и кнопка."
117,
118,
119,
