profile_id,nick,line,text
051,id051,000,Негодяи.
051,id051,001,Врагам пора помолиться!
051,id051,002,Они прижали меня к стене!
051,id051,003,
051,id051,004,
051,id051,005,
051,id051,006,"О, я что-то слышал."
051,id051,007,
051,id051,008,Здесь творится что-то не то. Мне это не нравится.
051,id051,009,
051,id051,010,"Ну хватит, это уже не смешно!"
051,id051,011,"Гм, а это что?"
051,id051,012,Здесь что-то лежит.
051,id051,013,Надо перезарядиться!
051,id051,014,"Меня задело... Похоже на ранение в живот, контузию и вазэктомию одновременно."
051,id051,015,
051,id051,016,
051,id051,017,
051,id051,018,"Прошу прощения, я задумался. Можно еще раз?"
051,id051,019,Ружье заклинило.
051,id051,020,Они пытаются сделать из меня кашу!
051,id051,021,"Ну... Это непохоже на то, что написано в путеводителе."
051,id051,022,"Интересно, сколько жизней у меня еще осталось."
051,id051,023,"Не думаю, что у меня получится."
051,id051,024,"Блин, прошу прощения. Я все тут кровью залил."
051,id051,025,"Я упаду, если сейчас же не посплю."
051,id051,026,Минутку.
051,id051,027,Баю-бай!
051,id051,028,Первый пошел!
051,id051,029,
051,id051,030,
051,id051,031,
051,id051,032,
051,id051,033,Блин... Мне что-то дурно...
051,id051,034,
051,id051,035,Я все сделал.
051,id051,036,"Позвольте отказаться, сэр."
051,id051,037,"Ну наконец-то! Приятно видеть, что работа выполнена!"
051,id051,038,"Хорошо! Скажите, что я выиграл? Спортивный автомобиль? Или мне просто придется н"
051,id051,039,"Не знаю, встречал ли я большего придурка."
051,id051,040,Все это начинает действовать мне на нервы.
051,id051,041,"Многие из этих ребят под венец не годятся, однако в драке они хороши."
051,id051,042,Нас заметили с воздуха!
051,id051,043,Эти вещи совершенно бесполезны. Лучше уж снежки бросать.
051,id051,044,
051,id051,045,
051,id051,046,Я не обычный наемник.
051,id051,047,"Это звучит, как предложение штабной крысы, а не опытного боевого командира."
051,id051,048,"Все, кто не ожидал этого, поднимите руки."
051,id051,049,
051,id051,050,
051,id051,051,
051,id051,052,
051,id051,053,
051,id051,054,
051,id051,055,
051,id051,056,У меня глаза слезятся! Я вижу лишь смутные тени.
051,id051,057,Это бесполезно.
051,id051,058,Он мне нравится.
051,id051,059,В этом районе обнаружены враги.
051,id051,060,"Помните, мы обнаружили не всех."
051,id051,061,
051,id051,062,"Облако дыма, падение тела... На свете нет ничего лучше!"
051,id051,063,
051,id051,064,
051,id051,065,"Ага! Получилось! Когда кто-нибудь оповестит их родных, мы сможем двинуть в следу"
051,id051,066,"Кто бы ни спер эти вещи, этот ящик станет его гробом. Надеюсь, вы поняли, о чем"
051,id051,067,"Вставай, и я снова сделаю это! Блин, ей уже хватит. Ненавижу подобные ситуации!"
051,id051,068,"Кошак! Стопудово, я видел кошака!"
051,id051,069,Ты лучший командир на этой стороне! Я был здесь с первого дня до самого конца. О
051,id051,070,"Они, наверно, поняли, к чему идет. Они оставили это место нам."
051,id051,071,Я посплю чуток. Я недолго.
051,id051,072,Я вернулся.
051,id051,073,И я тоже.
051,id051,074,Этот хлам из уцененки поломался. Он бесполезен.
051,id051,075,Держись крепче! Здесь все может накрыться.
051,id051,076,"Иди прямо по пунктирной линии, чувак. Отклоняться может быть опасно."
051,id051,077,Мне надо... за что-нибудь схватиться... Или я... утону...
051,id051,078,Я прибыл на место. Что на повестке дня?
051,id051,079,"Ну и тип. Он похож на хлыща, что приставал к моей мамочке, пока папочка не дал е"
051,id051,080,Ох! Моя спина... Ну и шмякнулись.
051,id051,081,"Не расстраивайся, парень, у нас еще будет шанс отыграться."
051,id051,082,"Если наше падение кто-нибудь видел, они пойдут проверить. Лучше побыстрее уйти о"
051,id051,083,Здесь нет выхода наружу. Придется найти способ открыть дверь внизу.
051,id051,084,"Что ты думаешь, я проложу новый туннель? Пути назад нет."
051,id051,085,"Ох! Здесь холоднее, чем у снегурочки за пазухой!"
051,id051,086,"Эх, улететь бы сейчас домой, к мамочке!"
051,id051,087,"Тоже мне, город-пряник."
051,id051,088,"Миленький лесочек. Полянки подстрижены, елочки причесаны..."
051,id051,089,"Счет не в нашу пользу. Похоже, кое-кто остался позади."
051,id051,090,"Мы попали сюда, но у меня в ушах звенит. Наверняка как и у всех на несколько кил"
051,id051,091,"Трудно поверить, но весь отряд цел."
051,id051,092,"Это только я такой, или и все остальные не прочь провести весь день здесь и проч"
051,id051,093,Я изо всех сил постараюсь не причинить этому парню серьезных повреждений.
051,id051,094,Это будет приятно.
051,id051,095,
051,id051,096,
051,id051,097,"Вы видели не так уж много, полковник, но я не рассчитывал завербовать всех на то"
051,id051,098,
051,id051,099,
051,id051,100,Я всегда хотел заполучить одну из этих штук.
051,id051,101,
051,id051,102,"Похоже, твое путешествие окончено."
051,id051,103,"Дай-ка посмотреть... Хм, похоже, на этот раз мы нашли что-то весьма интересное!"
051,id051,104,"Ничего себе работенку мне подсунул Ричардс! Ну да ладно, все уже позади."
051,id051,105,На такой теплый прием даже я не рассчитывал.
051,id051,106,Это какое-то средневековое оружие. Точно не знаю.
051,id051,107,"Эти кошаки - серьезная угроза. То есть, я имел в виду, БЫЛИ серьезной угрозой."
051,id051,108,"Да, хорошие подарки тебе дарят ""друзья"", ничего не скажешь."
051,id051,109,Похоже этот миляга из полиции нас попросту подставил. Уходим!
051,id051,110,"Наверно, я смогу разломать эту штуку. Хотя с кусачками получилось бы гораздо тиш"
051,id051,111,"Тот, кто делал эту дверь, не рассчитывал, чтобы в нее входили."
051,id051,112,"Надеюсь, это открылась дверь снизу."
051,id051,113,Мать моя женщина! Ну и шум!
051,id051,114,Мы готовы! Они отключают вентилятор.
051,id051,115,Теперь нужно поскорее выбираться отсюда.
051,id051,116,"Держу пари, одна из этих кнопок открывает дверь в лифт. Вот только какая?"
051,id051,117,
051,id051,118,
051,id051,119,
052,id052,000,Вижу цель.
052,id052,001,Нужно избавиться от некоторых неудобств.
052,id052,002,Какой кошмар!
052,id052,003,
052,id052,004,
052,id052,005,
052,id052,006,Я слышал подозрительный звук.
052,id052,007,
052,id052,008,"Тут кто-то есть, чувак. За нами следят."
052,id052,009,
052,id052,010,"Боже, мне нужна поддержка."
052,id052,011,Что это?
052,id052,012,Стоит взглянуть.
052,id052,013,Патронов нет.
052,id052,014,В этот раз мне досталось... могу и не оправиться.
052,id052,015,
052,id052,016,
052,id052,017,
052,id052,018,"Пардон, можно еще раз?"
052,id052,019,"Блин, проклятое ружье заело."
052,id052,020,Они включили подогрев!
052,id052,021,Словно москита пришлепнули.
052,id052,022,Настал мой час.
052,id052,023,Надо найти другую позицию.
052,id052,024,У меня проникающее ранение. Я теряю кровь.
052,id052,025,Я посплю здесь немного.
052,id052,026,Чуть... помедленнее.
052,id052,027,Цель поражена.
052,id052,028,Жри сырым!
052,id052,029,
052,id052,030,
052,id052,031,
052,id052,032,
052,id052,033,Кое у кого многовато сняли сверху.
052,id052,034,f
052,id052,035,Я закончил.
052,id052,036,"Простите, нет."
052,id052,037,Основная цель поражена.
052,id052,038,АГА!!! То есть...это просто моя работа.
052,id052,039,Такие товарищи нам не нужны.
052,id052,040,"Я надеялся, что все будет лучше."
052,id052,041,"Некоторым людям следовало бы понять, что профессия наемника - не для всех."
052,id052,042,Атака с воздуха! Это не шутка!
052,id052,043,Это просто хлам. Его незачем и с собой таскать.
052,id052,044,
052,id052,045,
052,id052,046,Я старался.
052,id052,047,"Пожалуй, это следует еще раз обдумать."
052,id052,048,Этого и следовало ожидать.
052,id052,049,
052,id052,050,
052,id052,051,
052,id052,052,
052,id052,053,
052,id052,054,
052,id052,055,
052,id052,056,Погодите... Я ничего не могу разглядеть.
052,id052,057,Это не для меня.
052,id052,058,Повстречать можно разных людей. Но некоторых из них приятно встретить.
052,id052,059,Внимание! Мы убедились в присутствии врага.
052,id052,060,Они не могли уйти далеко...
052,id052,061,
052,id052,062,Дело сделано.
052,id052,063,
052,id052,064,Мы должны предотвратить это. И у нас достаточно огневой мощи.
052,id052,065,"Цели кончились! По крайней мере, здесь."
052,id052,066,"Гм. Нам стоит получше разобраться, с кем мы имеем дело. Они снимают самые сливки"
052,id052,067,"Мне удивительно это говорить, однако иногда пуль не хватает... Теперь многие мат"
052,id052,068,Рысь!
052,id052,069,"Ну, мы были вместе с самого начала. Много воды утекло... Кажется, это было очень"
052,id052,070,Они сбежали через черный ход. Теперь мы здесь одни.
052,id052,071,"Отдыхаю перед тем, как сделать очередную глупость."
052,id052,072,Я снова готов к работе.
052,id052,073,И я.
052,id052,074,Этой штуке место в ближайшей помойке.
052,id052,075,"Черт! Похоже, у нас проблема."
052,id052,076,На месте стой! Видите? Выглядит подозрительно.
